word	c5	lemma	pos
# sentence 1, Texts/A/A0/A00.xml
FACTSHEET	NN1	factsheet	SUBST
WHAT	DTQ	what	PRON
IS	VBZ	be	VERB
AIDS	NN1	aids	SUBST
?	PUN	?	PUN

# sentence 2, Texts/A/A0/A00.xml
AIDS	NN1	aids	SUBST
(	PUL	(	PUL
Acquired	VVN-AJ0	acquire	VERB
Immune	AJ0	immune	ADJ
Deficiency	NN1	deficiency	SUBST
Syndrome	NN1	syndrome	SUBST
)	PUR	)	PUR
is	VBZ	be	VERB
a	AT0	a	ART
condition	NN1	condition	SUBST
caused	VVN	cause	VERB
by	PRP	by	PREP
a	AT0	a	ART
virus	NN1	virus	SUBST
called	VVN	call	VERB
HIV	NP0	hiv	SUBST
(	PUL	(	PUL
Human	AJ0-NN1	human	ADJ
Immuno	NN1	immuno	SUBST
Deficiency	NN1	deficiency	SUBST
Virus	NN1	virus	SUBST
)	PUR	)	PUR
.	PUN	.	PUN

# sentence 3, Texts/A/A0/A00.xml
This	DT0	this	ADJ
virus	NN1	virus	SUBST
affects	VVZ	affect	VERB
the	AT0	the	ART
body	NN1	body	SUBST
's	POS	's	UNC
defence	NN1	defence	SUBST
system	NN1	system	SUBST
so	AV0	so	ADV
that	CJT	that	CONJ
it	PNP	it	PRON
can	VM0	can	VERB
not	XX0	not	ADV
fight	VVI	fight	VERB
infection	NN1	infection	SUBST
.	PUN	.	PUN

# sentence 4, Texts/A/A0/A00.xml
How	AVQ	how	ADV
is	VBZ	be	VERB
infection	NN1	infection	SUBST
transmitted	VVN-VVD	transmit	VERB
?	PUN	?	PUN

# sentence 5, Texts/A/A0/A00.xml
through	PRP	through	PREP
unprotected	AJ0	unprotected	ADJ
sexual	AJ0	sexual	ADJ
intercourse	NN1	intercourse	SUBST
with	PRP	with	PREP
an	AT0	an	ART
infected	AJ0	infected	ADJ
partner	NN1	partner	SUBST
.	PUN	.	PUN

# sentence 6, Texts/A/A0/A00.xml
through	PRP	through	PREP
infected	AJ0	infected	ADJ
blood	NN1	blood	SUBST
or	CJC	or	CONJ
blood	NN1	blood	SUBST
products	NN2	product	SUBST
.	PUN	.	PUN

# sentence 7, Texts/A/A0/A00.xml
from	PRP	from	PREP
an	AT0	an	ART
infected	AJ0	infected	ADJ
mother	NN1	mother	SUBST
to	PRP	to	PREP
her	DPS	she	PRON
baby	NN1	baby	SUBST
.	PUN	.	PUN

# sentence 8, Texts/A/A0/A00.xml
It	PNP	it	PRON
is	VBZ	be	VERB
not	XX0	not	ADV
transmitted	VVN	transmit	VERB
from	PRP	from	PREP
:	PUN	:	PUN

# sentence 9, Texts/A/A0/A00.xml
giving	VVG	give	VERB
blood/mosquito	NN1	blood/mosquito	SUBST
bites/toilet	UNC	bites/toilet	UNC
seats/kissing/from	UNC	seats/kissing/from	UNC
normal	AJ0	normal	ADJ
day-to-day	AJ0	day-to-day	ADJ
contact	NN1	contact	SUBST

# sentence 10, Texts/A/A0/A00.xml
How	AVQ	how	ADV
does	VDZ	do	VERB
it	PNP	it	PRON
affect	VVI	affect	VERB
you	PNP	you	PRON
?	PUN	?	PUN

# sentence 11, Texts/A/A0/A00.xml
The	AT0	the	ART
medical	AJ0	medical	ADJ
aspects	NN2	aspect	SUBST
can	VM0	can	VERB
be	VBI	be	VERB
cancer	NN1	cancer	SUBST
,	PUN	,	PUN
pneumonia	NN1	pneumonia	SUBST
,	PUN	,	PUN
sudden	AJ0	sudden	ADJ
blindness	NN1	blindness	SUBST
,	PUN	,	PUN
dementia	NN1	dementia	SUBST
,	PUN	,	PUN
dramatic	AJ0	dramatic	ADJ
weight	NN1	weight	SUBST
loss	NN1	loss	SUBST
or	CJC	or	CONJ
any	DT0	any	ADJ
combination	NN1	combination	SUBST
