word	pos	msd

# corpus wikipedia-sv
# document 
# text 
# paragraph 
# sentence 57d8df59
.dk	NN	NN.UTR.SIN.IND.NOM

# paragraph 
# sentence 57d1845e
.dk	NN	NN.UTR.SIN.IND.NOM
är	VB	VB.PRS.AKT
"	PAD	PAD
code	UO	UO
top-level	UO	UO
domain	UO	UO
"	PAD	PAD
(	PAD	PAD
ccTLD	PM	PM.NOM
)	PAD	PAD
för	PP	PP
Danmark	PM	PM.NOM
.	MAD	MAD

# sentence 57dca6c0
Överseendet	NN	NN.NEU.SIN.DEF.NOM
av	PP	PP
.dk	PM	PM.NOM
toppnivådomäner	NN	NN.UTR.PLU.IND.NOM
hanteras	VB	VB.PRS.SFO
helt	AB	AB.POS
och	KN	KN
hållet	AB	AB
av	PP	PP
DK	PM	PM.NOM
Hostmaster	PM	PM.NOM
.	MAD	MAD

# sentence 57d7ddfb
Alla	DT	DT.UTR+NEU.PLU.IND+DEF
nya	JJ	JJ.POS.UTR+NEU.PLU.IND+DEF.NOM
.dk	JJ	JJ.POS.UTR+NEU.PLU.IND+DEF.NOM
domännamn	NN	NN.NEU.PLU.IND.NOM
måste	VB	VB.PRS.AKT
ansökas	VB	VB.INF.SFO
om	PP	PP
via	PP	PP
en	DT	DT.UTR.SIN.IND
godkänd	PC	PC.PRF.UTR.SIN.IND.NOM
registrator	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# sentence 57dad618
Därefter	AB	AB
kan	VB	VB.PRS.AKT
den	DT	DT.UTR.SIN.DEF
sökande	NN	NN.UTR.SIN.IND.NOM
be	VB	VB.INF.AKT
registratorn	NN	NN.UTR.SIN.DEF.NOM
att	IE	IE
ta	VB	VB.INF.AKT
han	PN	PN.UTR.SIN.DEF.SUB
om	PP	PP
domännamnet	NN	NN.NEU.SIN.DEF.NOM
eller	KN	KN
få	VB	VB.INF.AKT
det	PN	PN.NEU.SIN.DEF.SUB+OBJ
omhändertaget	AB	AB.POS
direkt	AB	AB.POS
av	PP	PP
DK	PM	PM.NOM
Hostmaster	PM	PM.NOM
.	MAD	MAD

# sentence 57d733d6
Registreringar	NN	NN.UTR.PLU.IND.NOM
av	PP	PP
domännamn	NN	NN.NEU.PLU.IND.NOM
med	PP	PP
tecknen	NN	NN.NEU.PLU.DEF.NOM
æ	NN	NN.UTR.SIN.IND.NOM
,	MID	MID
ø	NN	NN.AN
,	MID	MID
å	NN	NN.NEU.SIN.IND.NOM
,	MID	MID
ö	NN	NN.UTR.SIN.IND.NOM
,	MID	MID
ä	NN	NN.NEU.SIN.IND.NOM
,	MID	MID
ü	NN	NN.NEU.SIN.IND.NOM
,	MID	MID
och	KN	KN
é	NN	NN.NEU.SIN.IND.NOM
är	VB	VB.PRS.AKT
också	AB	AB
tillåtna	PC	PC.PRF.UTR+NEU.PLU.IND+DEF.NOM
.	MAD	MAD

# paragraph 
# sentence 57d4d36d
Historia	NN	NN.UTR.SIN.IND.NOM

# paragraph 
# sentence 57dae0be
Toppnivådomänen	NN	NN.UTR.PLU.DEF.NOM
med	PP	PP
landskoden	NN	NN.UTR.SIN.DEF.NOM
.dk	PM	PM.NOM
skapades	VB	VB.PRT.SFO
14	RG	RG.NOM
juli	NN	NN.UTR.SIN.IND.NOM
1987	RG	RG.NOM
på	PP	PP
ARPA	PM	PM.NOM
Network	PM	PM.NOM
Information	PM	PM.NOM
Center	PM	PM.NOM
,	MID	MID
Stanford	PM	PM.NOM
Research	PM	PM.NOM
Institute	PM	PM.NOM
(	PAD	PAD
SRI-NIC	PM	PM.NOM
)	PAD	PAD
.	MAD	MAD

# sentence 57d88092
Den	DT	DT.UTR.SIN.DEF
danska	JJ	JJ.POS.UTR+NEU.SIN.DEF.NOM
användargruppen	NN	NN.UTR.SIN.DEF.NOM
för	PP	PP
UNIX	PM	PM.NOM
(	PAD	PAD
DKUUG	PM	PM.NOM
)	PAD	PAD
på	PP	PP
Datalogisk	JJ	JJ.POS.UTR.SIN.IND.NOM
Institut	NN	NN.NEU.SIN.IND.NOM
,	MID	MID
Københavns	PM	PM.GEN
Universitet	NN	NN.NEU.SIN.IND.NOM
(	PAD	PAD
DIKU	PM	PM.NOM
)	PAD	PAD
fick	VB	VB.PRT.AKT
ta	VB	VB.INF.AKT
hand	NN	NN.UTR.SIN.IND.NOM
om	PP	PP
.dk	NN	NN.UTR.SIN.IND.NOM
domänen	NN	NN.UTR.SIN.DEF.NOM
på	PP	PP
DKnet	NN	NN.NEU.SIN.DEF.NOM
,	MID	MID
vid	PP	PP
den	DT	DT.UTR.SIN.DEF
tiden	NN	NN.UTR.SIN.DEF.NOM
det	DT	DT.NEU.SIN.DEF
informella	JJ	JJ.POS.UTR+NEU.SIN.DEF.NOM
namnet	NN	NN.NEU.SIN.DEF.NOM
för	PP	PP
UUCP-nätverket	NN	NN.NEU.SIN.DEF.NOM
på	PP	PP
